GEOID,kiosks,population,pop_moe,pop_per_kiosk,pois,ct_title,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,variable,geometry
36005016400,0,1074,201,Inf,4,"Census Tract 164, Bronx County, New York",36,005,016400,164,Census Tract 164,G5020,S,164578,0,+40.8322025,-073.8248470,B01003_001,"list(list(c(-73.828189, -73.826801, -73.826013, -73.825188, -73.82467, -73.823816, -73.822623, -73.821482, -73.822351, -73.823216, -73.824003, -73.825294, -73.825982, -73.826519, -73.827113, -73.827676, -73.828189, 40.832951, 40.833633, 40.834021, 40.834588, 40.83388, 40.83433, 40.832914, 40.831573, 40.83115, 40.830726, 40.83034, 40.829689, 40.830417, 40.831001, 40.831682, 40.832358, 40.832951)))"
36005036800,0,2365,452,Inf,2,"Census Tract 368, Bronx County, New York",36,005,036800,368,Census Tract 368,G5020,S,169530,0,+40.8753072,-073.8559420,B01003_001,"list(list(c(-73.860077, -73.859959, -73.859752, -73.859242, -73.857348, -73.856877, -73.856782, -73.854446, -73.852621, -73.851201, -73.851432, -73.852065, -73.852155, -73.85278, -73.853637, -73.854508, -73.855518, -73.856513, -73.857442, -73.858029, -73.858915, -73.860512, -73.860077, 40.876278, 40.876489, 40.876861, 40.876858, 40.876784, 40.876766, 40.876926, 40.876183, 40.875602, 40.875154, 40.874987, 40.874504, 40.874434, 40.873953, 40.873301, 40.873581, 40.873904, 40.874218, 40.874514, 40.874704, 
40.874985, 40.875494, 40.876278)))"
36005006000,0,1295,363,Inf,7,"Census Tract 60, Bronx County, New York",36,005,006000,60,Census Tract 60,G5020,S,336489,0,+40.8376356,-073.8777710,B01003_001,"list(list(c(-73.882222, -73.882105, -73.882072, -73.882072, -73.882172, -73.882006, -73.88172, -73.881663, -73.88155, -73.881135, -73.880514, -73.880371, -73.880163, -73.87973, -73.87866, -73.878364, -73.877914, -73.877415, -73.875613, -73.873561, -73.872843, -73.872944, -73.873069, -73.873183, -73.873229, -73.873384, -73.87341, -73.873586, -73.873659, -73.873703, -73.873746, -73.873824, -73.873843, -73.873943, -73.874323, -73.875077, -73.875207, -73.875887, -73.876125, -73.876623, -73.876937, -73.877525, 
-73.877968, -73.878409, -73.879252, -73.879983, -73.88126, -73.881893, -73.882023, -73.882109, -73.882222, 40.835463, 40.835836, 40.836235, 40.83659, 40.83709, 40.83746, 40.837954, 40.838029, 40.838211, 40.838622, 40.839237, 40.839472, 40.839998, 40.840042, 40.84002, 40.839997, 40.839971, 40.839988, 40.839902, 40.839794, 40.839758, 40.839251, 40.838751, 40.838359, 40.838156, 40.837662, 40.83759, 40.837087, 40.836905, 40.836817, 40.836679, 40.836399, 40.836327, 40.83598, 40.836033, 40.836099, 40.836109, 
40.836164, 40.836183, 40.836214, 40.836137, 40.835887, 40.835615, 40.835292, 40.834424, 40.83468, 40.835126, 40.835354, 40.835397, 40.835426, 40.835463)))"
36005037600,0,2071,284,Inf,1,"Census Tract 376, Bronx County, New York",36,005,037600,376,Census Tract 376,G5020,S,124765,0,+40.8745386,-073.8692050,B01003_001,"list(list(c(-73.870377, -73.870313, -73.870265, -73.870029, -73.869421, -73.869435, -73.868485, -73.86805, -73.868068, -73.868077, -73.86813, -73.868208, -73.868258, -73.869351, -73.870562, -73.870377, 40.873285, 40.875341, 40.875637, 40.87649, 40.877987, 40.878129, 40.877903, 40.877799, 40.877368, 40.877145, 40.875305, 40.873235, 40.871462, 40.871483, 40.871511, 40.873285)))"
36005023301,5,4177,673,835.4,10,"Census Tract 233.01, Bronx County, New York",36,005,023301,233.01,Census Tract 233.01,G5020,S,119112,0,+40.8495612,-073.9087543,B01003_001,"list(list(c(-73.911122, -73.910695, -73.910582, -73.91002, -73.909215, -73.908411, -73.907648, -73.906993, -73.906817, -73.906158, -73.905999, -73.906059, -73.906767, -73.907487, -73.907745, -73.908582, -73.909749, -73.910674, -73.91168, -73.911122, 40.849418, 40.850019, 40.850182, 40.850961, 40.851801, 40.851319, 40.85086, 40.850371, 40.850198, 40.849549, 40.849392, 40.849321, 40.848541, 40.847804, 40.847856, 40.848023, 40.848256, 40.848438, 40.848639, 40.849418)))"
36005004001,0,1574,320,Inf,6,"Census Tract 40.01, Bronx County, New York",36,005,004001,40.01,Census Tract 40.01,G5020,S,123145,0,+40.8282719,-073.8583355,B01003_001,"list(list(c(-73.860674, -73.85962, -73.859938, -73.860261, -73.85699, -73.856822, -73.856656, -73.856491, -73.856328, -73.856151, -73.8563, -73.85645, -73.856747, -73.857021, -73.857278, -73.858672, -73.859703, -73.860674, 40.828419, 40.828548, 40.829247, 40.829947, 40.830385, 40.829665, 40.828945, 40.828225, 40.827508, 40.82677, 40.826757, 40.826744, 40.826705, 40.826656, 40.826599, 40.826424, 40.826277, 40.828419)))"
36005006900,3,7255,1030,2418.3333333333335,23,"Census Tract 69, Bronx County, New York",36,005,006900,69,Census Tract 69,G5020,S,187978,0,+40.8218666,-073.9157567,B01003_001,"list(list(c(-73.920204, -73.919483, -73.91937, -73.918993, -73.918966, -73.918337, -73.917566, -73.916773, -73.915877, -73.916216, -73.914506, -73.912876, -73.911745, -73.912168, -73.91257, -73.913063, -73.91352, -73.914264, -73.915902, -73.917242, -73.917396, -73.91754, -73.917713, -73.917691, -73.917495, -73.917417, -73.918371, -73.918577, -73.91882, -73.919178, -73.919789, -73.92034, -73.920204, 40.822182, 40.822645, 40.822718, 40.822961, 40.822979, 40.823385, 40.823884, 40.824387, 40.824104, 
40.823468, 40.822942, 40.822441, 40.822107, 40.821486, 40.820861, 40.820133, 40.819542, 40.819747, 40.820175, 40.820524, 40.820564, 40.820602, 40.820647, 40.820691, 40.821108, 40.821277, 40.821544, 40.821602, 40.82167, 40.82177, 40.821941, 40.822095, 40.822182)))"
36005003100,0,2165,430,Inf,2,"Census Tract 31, Bronx County, New York",36,005,003100,31,Census Tract 31,G5020,S,154703,0,+40.8098988,-073.9056901,B01003_001,"list(list(c(-73.908207, -73.907839, -73.907537, -73.90726, -73.906852, -73.90633, -73.905413, -73.904466, -73.90418, -73.903417, -73.903243, -73.903074, -73.90496, -73.905616, -73.906089, -73.90635, -73.906655, -73.907833, -73.908443, -73.908207, 40.807152, 40.808206, 40.80906, 40.809937, 40.811209, 40.812667, 40.812476, 40.812282, 40.812125, 40.811507, 40.810713, 40.80988, 40.808531, 40.808097, 40.807744, 40.807499, 40.807312, 40.806762, 40.806477, 40.807152)))"
36005039000,0,3108,733,Inf,4,"Census Tract 390, Bronx County, New York",36,005,039000,390,Census Tract 390,G5020,S,181646,0,+40.8812352,-073.8607600,B01003_001,"list(list(c(-73.86395, -73.863589, -73.863193, -73.862803, -73.859941, -73.857056, -73.857445, -73.857835, -73.858222, -73.8586, -73.86148, -73.863249, -73.864466, -73.86395, 40.881434, 40.882168, 40.882881, 40.883574, 40.882665, 40.881745, 40.881041, 40.880335, 40.879637, 40.878954, 40.879818, 40.880242, 40.880545, 40.881434)))"
36005042800,0,2099,510,Inf,1,"Census Tract 428, Bronx County, New York",36,005,042800,428,Census Tract 428,G5020,S,169199,0,+40.8945094,-073.8457030,B01003_001,"list(list(c(-73.848629, -73.847744, -73.846875, -73.845989, -73.845105, -73.844165, -73.843956, -73.843743, -73.842788, -73.843655, -73.844542, -73.845426, -73.846295, -73.847181, -73.848063, -73.848629, 40.895914, 40.896109, 40.8963, 40.896495, 40.89669, 40.896896, 40.896189, 40.895621, 40.893094, 40.892906, 40.892708, 40.892516, 40.892324, 40.892128, 40.894437, 40.895914)))"
36005038800,0,2881,465,Inf,NA,"Census Tract 388, Bronx County, New York",36,005,038800,388,Census Tract 388,G5020,S,148659,0,+40.8795982,-073.8553665,B01003_001,"list(list(c(-73.858222, -73.857835, -73.857445, -73.857056, -73.854554, -73.852033, -73.852483, -73.852939, -73.853195, -73.853383, -73.853738, -73.856078, -73.8586, -73.858222, 40.879637, 40.880335, 40.881041, 40.881745, 40.880947, 40.88014, 40.879463, 40.87878, 40.878395, 40.878103, 40.877462, 40.878211, 40.878954, 40.879637)))"
36005005600,0,2168,352,Inf,10,"Census Tract 56, Bronx County, New York",36,005,005600,56,Census Tract 56,G5020,S,136188,0,+40.8326118,-073.8790757,B01003_001,"list(list(c(-73.882354, -73.879983, -73.879252, -73.878565, -73.87772, -73.877432, -73.876594, -73.876067, -73.876993, -73.877921, -73.878845, -73.879769, -73.880699, -73.881724, -73.882354, 40.831505, 40.83468, 40.834424, 40.834184, 40.833868, 40.83376, 40.833882, 40.831638, 40.831515, 40.831389, 40.831265, 40.831139, 40.831045, 40.831287, 40.831505)))"
36005014500,0,7002,1445,Inf,24,"Census Tract 145, Bronx County, New York",36,005,014500,145,Census Tract 145,G5020,S,181903,0,+40.8315139,-073.9070259,B01003_001,"list(list(c(-73.91049, -73.909621, -73.908691, -73.907947, -73.907347, -73.907085, -73.905915, -73.905029, -73.903435, -73.903599, -73.904208, -73.904506, -73.905531, -73.906571, -73.907722, -73.90896, -73.909243, -73.909713, -73.91049, 40.830737, 40.832281, 40.833938, 40.833684, 40.83348, 40.833417, 40.833055, 40.83274, 40.832216, 40.831972, 40.831067, 40.830625, 40.829104, 40.829452, 40.829823, 40.830226, 40.830317, 40.83047, 40.830737)))"
36005026300,2,7124,1211,3562,5,"Census Tract 263, Bronx County, New York",36,005,026300,263,Census Tract 263,G5020,S,158774,0,+40.8647665,-073.9044669,B01003_001,"list(list(c(-73.909099, -73.908802, -73.908384, -73.908114, -73.907782, -73.907539, -73.906805, -73.906354, -73.90628, -73.906183, -73.906071, -73.905964, -73.905826, -73.905726, -73.905591, -73.905455, -73.905319, -73.905197, -73.905045, -73.904899, -73.904771, -73.904662, -73.904559, -73.904471, -73.904401, -73.904391, -73.903116, -73.902358, -73.901645, -73.90114, -73.902074, -73.903322, -73.902522, -73.901945, -73.902518, -73.903319, -73.904038, -73.904934, -73.906159, -73.907586, -73.90821, 
-73.908608, -73.90904, -73.909099, 40.863001, 40.863222, 40.863399, 40.863479, 40.86354, 40.86356, 40.864426, 40.864922, 40.865007, 40.865093, 40.865171, 40.865229, 40.865285, 40.865316, 40.865346, 40.865363, 40.865368, 40.865387, 40.865426, 40.865481, 40.865546, 40.865616, 40.8657, 40.865793, 40.865888, 40.865905, 40.867654, 40.868696, 40.868416, 40.86828, 40.866997, 40.865311, 40.864873, 40.864553, 40.863798, 40.862735, 40.862741, 40.862749, 40.862779, 40.862816, 40.862828, 40.862796, 40.862679, 
40.863001)))"
36005029700,0,4122,390,Inf,7,"Census Tract 297, Bronx County, New York",36,005,029700,297,Census Tract 297,G5020,S,232730,0,+40.8849310,-073.9118383,B01003_001,"list(list(c(-73.91509, -73.914865, -73.914527, -73.914648, -73.914782, -73.914892, -73.914022, -73.913024, -73.912361, -73.912272, -73.911731, -73.911679, -73.911381, -73.911251, -73.910838, -73.910237, -73.90995, -73.909804, -73.909757, -73.909741, -73.909626, -73.90949, -73.909375, -73.909064, -73.908893, -73.908799, -73.908696, -73.908418, -73.908627, -73.908757, -73.908863, -73.908943, -73.909067, -73.909297, -73.909374, -73.909659, -73.909982, -73.91035, -73.91043, -73.910414, -73.910378, -73.910426, 
-73.911015, -73.911498, -73.911725, -73.912018, -73.912754, -73.913758, -73.913102, -73.914291, -73.915166, -73.91509, 40.883759, 40.884166, 40.88453, 40.884564, 40.884605, 40.884625, 40.885344, 40.88617, 40.887001, 40.887115, 40.888219, 40.88823, 40.888238, 40.888241, 40.88845, 40.888768, 40.88892, 40.889056, 40.889144, 40.889212, 40.889317, 40.889406, 40.889453, 40.889508, 40.889396, 40.889361, 40.889323, 40.889122, 40.889049, 40.888997, 40.888935, 40.888874, 40.888789, 40.88847, 40.887948, 40.886645, 
40.885658, 40.884599, 40.88427, 40.883949, 40.883705, 40.88347, 40.882091, 40.881172, 40.880739, 40.880824, 40.881129, 40.881556, 40.882811, 40.883194, 40.883473, 40.883759)))"
36005020601,0,2425,538,Inf,2,"Census Tract 206.01, Bronx County, New York",36,005,020601,206.01,Census Tract 206.01,G5020,S,151551,0,+40.8366476,-073.8505404,B01003_001,"list(list(c(-73.852914, -73.851683, -73.851348, -73.850678, -73.850011, -73.848781, -73.847316, -73.848063, -73.848701, -73.849559, -73.850166, -73.851684, -73.85207, -73.852207, -73.852331, -73.852479, -73.852665, -73.85287, -73.852895, -73.852914, 40.840086, 40.839261, 40.839032, 40.838575, 40.838115, 40.837271, 40.836264, 40.835636, 40.835103, 40.834409, 40.834355, 40.834201, 40.835625, 40.836347, 40.83701, 40.837784, 40.83878, 40.839851, 40.839985, 40.840086)))"
36005042000,0,4512,838,Inf,6,"Census Tract 420, Bronx County, New York",36,005,042000,420,Census Tract 420,G5020,S,150497,0,+40.8930261,-073.8598556,B01003_001,"list(list(c(-73.862291, -73.862196, -73.862156, -73.862051, -73.86136, -73.860711, -73.859834, -73.856956, -73.857368, -73.857732, -73.858127, -73.858518, -73.858908, -73.85991, -73.861788, -73.862652, -73.862291, 40.892614, 40.892823, 40.892911, 40.893143, 40.894663, 40.895371, 40.895085, 40.894168, 40.893394, 40.892754, 40.892044, 40.891337, 40.890632, 40.890948, 40.89155, 40.891822, 40.892614)))"
36005015800,0,1423,330,Inf,9,"Census Tract 158, Bronx County, New York",36,005,015800,158,Census Tract 158,G5020,S,162176,0,+40.8248672,-073.8186182,B01003_001,"list(list(c(-73.821676, -73.820829, -73.820037, -73.819173, -73.818322, -73.817045, -73.816779, -73.816765, -73.816656, -73.816148, -73.817286, -73.818445, -73.81914, -73.819472, -73.820175, -73.820213, -73.820508, -73.820689, -73.820977, -73.821676, 40.826202, 40.826601, 40.826992, 40.827414, 40.827835, 40.825957, 40.824932, 40.823535, 40.823184, 40.821809, 40.822124, 40.822539, 40.822347, 40.822839, 40.824272, 40.824352, 40.824944, 40.825305, 40.825594, 40.826202)))"
36005007400,0,3078,578,Inf,1,"Census Tract 74, Bronx County, New York",36,005,007400,74,Census Tract 74,G5020,S,187162,0,+40.8194734,-073.8528608,B01003_001,"list(list(c(-73.855136, -73.852078, -73.851901, -73.851751, -73.85158, -73.85108, -73.850917, -73.850766, -73.850599, -73.851629, -73.85362, -73.853787, -73.853949, -73.854142, -73.854637, -73.854808, -73.854967, -73.855136, 40.822436, 40.822847, 40.822089, 40.821441, 40.820711, 40.818618, 40.817878, 40.81723, 40.816498, 40.816354, 40.816088, 40.816815, 40.817467, 40.818238, 40.8203, 40.821029, 40.82168, 40.822436)))"
36005028800,0,3144,750,Inf,2,"Census Tract 288, Bronx County, New York",36,005,028800,288,Census Tract 288,G5020,S,336192,0,+40.8542921,-073.8514721,B01003_001,"list(list(c(-73.856097, -73.854697, -73.853767, -73.852737, -73.851629, -73.850697, -73.849359, -73.849386, -73.850096, -73.849483, -73.848901, -73.848288, -73.84808, -73.848031, -73.848003, -73.848011, -73.848062, -73.84811, -73.84818, -73.848184, -73.848214, -73.848613, -73.849689, -73.850499, -73.851368, -73.852897, -73.854408, -73.855351, -73.856097, 40.856941, 40.857065, 40.857148, 40.857238, 40.85733, 40.857411, 40.857497, 40.856857, 40.856347, 40.855815, 40.855289, 40.854731, 40.85451, 40.854404, 
40.854291, 40.853951, 40.853239, 40.852612, 40.851588, 40.851515, 40.851091, 40.85108, 40.851059, 40.850696, 40.850304, 40.852264, 40.8542, 40.855433, 40.856941)))"
36005022902,0,3710,823,Inf,5,"Census Tract 229.02, Bronx County, New York",36,005,022902,229.02,Census Tract 229.02,G5020,S,91601,0,+40.8437952,-073.9071529,B01003_001,"list(list(c(-73.909463, -73.909375, -73.909361, -73.907548, -73.906653, -73.904851, -73.904847, -73.904937, -73.905, -73.906002, -73.906846, -73.907744, -73.908657, -73.908632, -73.90863, -73.909547, -73.909463, 40.843779, 40.844835, 40.845006, 40.844908, 40.844849, 40.844726, 40.84459, 40.843375, 40.842535, 40.842629, 40.842668, 40.842703, 40.84272, 40.842984, 40.843009, 40.843045, 40.843779)))"
36005013300,0,6236,1186,Inf,23,"Census Tract 133, Bronx County, New York",36,005,013300,133,Census Tract 133,G5020,S,161170,0,+40.8228225,-073.9034849,B01003_001,"list(list(c(-73.905732, -73.905442, -73.904922, -73.904417, -73.903114, -73.902331, -73.901345, -73.901242, -73.901176, -73.901877, -73.901988, -73.900612, -73.900845, -73.901292, -73.902668, -73.902886, -73.903793, -73.904897, -73.905659, -73.906457, -73.905732, 40.823337, 40.824033, 40.825287, 40.825166, 40.824854, 40.824666, 40.824429, 40.824404, 40.824389, 40.822705, 40.82244, 40.822109, 40.821542, 40.820475, 40.820803, 40.820858, 40.821091, 40.821371, 40.821557, 40.821715, 40.823337)))"
36005017100,0,0,13,NA,15,"Census Tract 171, Bronx County, New York",36,005,017100,171,Census Tract 171,G5020,S,174588,0,+40.8404231,-073.9075041,B01003_001,"list(list(c(-73.90959, -73.909547, -73.90863, -73.908632, -73.908657, -73.907744, -73.906846, -73.906002, -73.905, -73.905032, -73.905105, -73.905164, -73.905312, -73.90559, -73.905607, -73.905769, -73.906445, -73.906785, -73.906943, -73.907306, -73.907473, -73.907729, -73.90798, -73.909164, -73.909458, -73.90891, -73.908986, -73.909063, -73.909117, -73.909394, -73.909579, -73.909628, -73.90959, 40.842753, 40.843045, 40.843009, 40.842984, 40.84272, 40.842703, 40.842668, 40.842629, 40.842535, 40.842263, 
40.84126, 40.840867, 40.840455, 40.839916, 40.839844, 40.839557, 40.838669, 40.838254, 40.838106, 40.83789, 40.837763, 40.837478, 40.837178, 40.836982, 40.837057, 40.838376, 40.839162, 40.839947, 40.840171, 40.841254, 40.842027, 40.842396, 40.842753)))"
36005045101,0,1490,315,Inf,1,"Census Tract 451.01, Bronx County, New York",36,005,045101,451.01,Census Tract 451.01,G5020,S,176003,0,+40.8974545,-073.8643137,B01003_001,"list(list(c(-73.867447, -73.865092, -73.863483, -73.863769, -73.86222, -73.861916, -73.861335, -73.861457, -73.861471, -73.861423, -73.861295, -73.861113, -73.861465, -73.862875, -73.863293, -73.863559, -73.864017, -73.864917, -73.866917, -73.867068, -73.867195, -73.86732, -73.867447, 40.898953, 40.899206, 40.899373, 40.898657, 40.898816, 40.89883, 40.90019, 40.899527, 40.899148, 40.898539, 40.898099, 40.897589, 40.897158, 40.895154, 40.89529, 40.895377, 40.895523, 40.89575, 40.896083, 40.896914, 
40.897592, 40.898272, 40.898953)))"
36005008300,3,6121,913,2040.3333333333333,7,"Census Tract 83, Bronx County, New York",36,005,008300,83,Census Tract 83,G5020,S,213932,0,+40.8136778,-073.9018400,B01003_001,"list(list(c(-73.904183, -73.903804, -73.90347, -73.903065, -73.90301, -73.902579, -73.901536, -73.900721, -73.900922, -73.900506, -73.90012, -73.899728, -73.899341, -73.898448, -73.899167, -73.900905, -73.903074, -73.903243, -73.903417, -73.90418, -73.904466, -73.904183, 40.813087, 40.814132, 40.815075, 40.816107, 40.816318, 40.81737, 40.817156, 40.816764, 40.816724, 40.815879, 40.815084, 40.81429, 40.813489, 40.813177, 40.812665, 40.811429, 40.80988, 40.810713, 40.811507, 40.812125, 40.812282, 40.813087
)))"
